scenario,state,sector,subsector,subsector_detail,fuel_type,unit,2015,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
core_central~0002,ACT,Commercial buildings,Age Care,Cooling,Electricity,PJ,0.04324777475736062,0.04604802130144654,0.03979376647532973,0.03870516773813274,0.03713648145551625,0.03555544349263234,0.04317904626676161,0.04538756576484137,0.03270906709142747,0.03181699906384619,0.029186745900039935,0.03157116393398884,0.031915394473589265,0.034860817813003375,0.03366851341060661,0.03595929717949667,0.037540519411805105
core_central~0002,ACT,Commercial buildings,Age Care,Heating,Electricity,PJ,0.033474946964076324,0.03618588119392775,0.037278326029132725,0.03842468062349467,0.03961150276080998,0.04084515457418472,0.0474915191763182,0.05049317949584324,0.04508832956974392,0.04651484622512187,0.04804546843573384,0.05185456828363142,0.053463681581184835,0.054583503770288665,0.056622497737713245,0.05843095202572458,0.061061540029639864
core_central~0002,ACT,Commercial buildings,Age Care,Heating,Natural gas,PJ,0.007793480008121345,0.008365560085381297,0.007296177749522618,0.007063264499958151,0.0063716984363915785,0.005167675712387815,0.0010613536605563693,,,,,,,,,,
core_central~0002,ACT,Commercial buildings,Age Care,IT Equipment,Electricity,PJ,0.04925103803661592,0.05274756690638724,0.04935931578384991,0.04927785082383277,0.049163236183373336,0.04902197357448434,0.05727545236463902,0.06019359587263429,0.04953874687190107,0.04966987891003917,0.04944058815195646,0.053149405324865576,0.053261611632164196,0.05237920514496413,0.05296387233049622,0.05296874984211602,0.054274708295457434
core_central~0002,ACT,Commercial buildings,Age Care,Lighting,Electricity,PJ,0.049009709468046406,0.04928399029542569,0.04092726864702366,0.03851173888992706,0.036128112523110385,0.03369453189479914,0.04074346301873934,0.04262592003479598,0.029575497388797167,0.0284266316871153,0.02739053097291501,0.030516603754364463,0.028910625019467937,0.026425180934206222,0.024899305884561865,0.027381115919275428,0.027995816450303572
core_central~0002,ACT,Commercial buildings,Data Centre,Cooling,Electricity,PJ,,,,,,,0.007928964074375438,0.009980483376651188,,,,0.004036071980592647,0.004048213258352854,0.003272686558055679,0.003658079272275936,0.003626908461967349,0.00458979738315318
core_central~0002,ACT,Commercial buildings,Data Centre,IT Equipment,Electricity,PJ,,,,,,,0.007954025772476064,0.009997975140193722,,,,0.004019366750682355,0.004029659514845764,0.0032760904290024388,0.0036550524044594566,0.003626650965895121,0.004594466139713739
core_central~0002,ACT,Commercial buildings,Data Centre,Lighting,Electricity,PJ,,,,,,,0.00795198140401979,0.009991688178974917,,,,0.004036213935468064,0.004037430004408856,0.003293306373375711,0.0036966328505169087,0.0036423618057946326,0.004577111320594833
core_central~0002,ACT,Commercial buildings,Hospital,Cooling,Electricity,PJ,0.028270049473666885,0.03220293842322115,0.025005535531013326,0.02136560833554645,0.02055824412489935,0.01971524362368453,0.0287568022613277,0.030403505153084726,0.01639306021988638,0.015943854021574444,0.015559749612368773,0.01975642243701827,0.019861521419184052,0.019749582466278597,0.020443525037780505,0.020500998317055905,0.02198367880629439
core_central~0002,ACT,Commercial buildings,Hospital,Heating,Electricity,PJ,0.00515937825019576,0.005578559729795183,0.0057462304785982745,0.0059208803845197154,0.006102517915571023,0.006300857719731723,0.013086911655963571,0.01521954851538327,0.007158995343847332,0.008397910634049205,0.008686260497526873,0.014953703814802082,0.015316146241854423,0.015008866629678328,0.01575752185179579,0.01615596262278589,0.017487639144487543
core_central~0002,ACT,Commercial buildings,Hospital,Heating,Natural gas,PJ,0.030854530032152553,0.033127453896227205,0.028888969063927007,0.027957062449879257,0.025201858289000553,0.020459872782304225,0.01560659637994899,0.011036900245435955,0.0061402282250223325,,,,,,,,
core_central~0002,ACT,Commercial buildings,Hospital,IT Equipment,Electricity,PJ,0.006582290616996463,0.007051307322255842,0.006648819530110459,0.006653359567852206,0.006655345383545997,0.006665309195072893,0.017318337307896926,0.020372698164345077,0.007075165014958724,0.006984082825208777,0.0070336511411535655,0.012052088654423317,0.012073924993004477,0.010991645718868572,0.011576950107019273,0.011559182504134636,0.013010962691143541
core_central~0002,ACT,Commercial buildings,Hospital,Lighting,Electricity,PJ,0.004854168312431276,0.00488252101795198,0.004119884556535209,0.0038508567134427083,0.0027840934191772798,0.0026289208586914256,0.01287488725841611,0.015891218594706456,0.0018592043015644658,0.0018059976501636618,0.0010023854079376112,0.006454840409589347,0.006443189030901743,0.005320336560168584,0.005913057960446875,0.005815711083208131,0.007198176764568874
core_central~0002,ACT,Commercial buildings,Hospital,Other,Electricity,PJ,0.03734925637138118,0.057857701998313964,0.06682340587406067,0.07005431920391883,0.07295543598462494,0.0768102370612351,0.08495466324422507,0.09054193204521208,0.08923689828661398,0.09341052130689803,0.09831124199424536,0.10519028112008745,0.11054845348205955,0.11500697842657831,0.12087485816881155,0.12705282012807573,0.1339080999293902
core_central~0002,ACT,Commercial buildings,Hospital,Other,Natural gas,PJ,0.006453721037450729,0.006978053959603901,0.0071877743346716455,0.0073489274283654975,0.007139439523241813,0.0065371588197494866,0.005903248724337373,0.005278541922036204,0.004608526533971902,,,,,,,,
core_central~0002,ACT,Commercial buildings,Hospital,Other,Oil,PJ,0.023602461,0.03498798914678011,0.03994060118702857,0.038214987186157,0.03635756718515692,0.03437701318406582,0.03224037336549555,0.029937242362240626,0.02745721317908992,0.024802022353219242,0.021956059346835335,0.01889504533815617,0.015622448326087805,0.012107051461487384,0.008341917414582822,0.0043131713178848905,
