tech_name	tech_desc
ETI_FS_hyd_fcv_Zin_Min_ed	ETI Technology - Zero emissions fuels - Fuel cell electric trucks - Zinc mining - Energy demand
ETI_ME_mrc_Iro_Ore_Min_al	ETI Technology - Material efficiency - Circular economy - metal recycling - Iron ore mining - Activity
ETI_ME_mrc_Bau_Min_al	ETI Technology - Material efficiency - Circular economy - metal recycling - Bauxite mining - Activity
ETI_ME_mrc_Lit_Min_al	ETI Technology - Material efficiency - Circular economy - metal recycling - Lithium mining - Activity
ETI_ME_mrc_Nic_Min_al	ETI Technology - Material efficiency - Circular economy - metal recycling - Nickel mining - Activity
ETI_ME_mrc_Cop_Min_al	ETI Technology - Material efficiency - Circular economy - metal recycling - Copper mining - Activity
ETI_ME_mrc_Zin_Min_al	ETI Technology - Material efficiency - Circular economy - metal recycling - Zinc mining - Activity
ETI_CCS_ccs_dil_Lit_Min_ne	ETI Technology - CCS of process emissions - CCS for mine sites - Lithium mining - Non-energy emissions intensity
ETI_CCS_ccs_dil_Nic_Min_ne	ETI Technology - CCS of process emissions - CCS for mine sites - Nickel mining - Non-energy emissions intensity
ETI_CCS_ccs_dil_Cop_Min_ne	ETI Technology - CCS of process emissions - CCS for mine sites - Copper mining - Non-energy emissions intensity
ETI_CCS_ccs_dil_Zin_Min_ne	ETI Technology - CCS of process emissions - CCS for mine sites - Zinc mining - Non-energy emissions intensity
ETI_FS_hyd_hit_Lit_Min_ed	ETI Technology - Zero emissions fuels - Hydrogen for heat - Lithium mining - Energy demand
ETI_FS_hyd_hit_Nic_Min_ed	ETI Technology - Zero emissions fuels - Hydrogen for heat - Nickel mining - Energy demand
ETI_FS_hyd_hit_Cop_Min_ed	ETI Technology - Zero emissions fuels - Hydrogen for heat - Copper mining - Energy demand
ETI_FS_hyd_hit_Zin_Min_ed	ETI Technology - Zero emissions fuels - Hydrogen for heat - Zinc mining - Energy demand
ETI_ELE_ele_hit_Lit_Min_ed	ETI Technology - Electrification - Electrification of heat - Lithium mining - Energy demand
ETI_ELE_ele_hit_Nic_Min_ed	ETI Technology - Electrification - Electrification of heat - Nickel mining - Energy demand
ETI_ELE_ele_hit_Cop_Min_ed	ETI Technology - Electrification - Electrification of heat - Copper mining - Energy demand
ETI_ELE_ele_hit_Zin_Min_ed	ETI Technology - Electrification - Electrification of heat - Zinc mining - Energy demand
ETI_NET_mcb_Iro_Ore_Min_ne	ETI Technology - Negative emission technologies - Mineral carbonation - Iron ore mining - Non-energy emissions intensity
ETI_NET_mcb_Bau_Min_ne	ETI Technology - Negative emission technologies - Mineral carbonation - Bauxite mining - Non-energy emissions intensity
ETI_NET_mcb_Nic_Min_ne	ETI Technology - Negative emission technologies - Mineral carbonation - Nickel mining - Non-energy emissions intensity
ETI_CCS_ccs_dil_Alu_Na_ee	ETI Technology - CCS of energy emissions - CCS - Alumina - Energy emissions intensity
ETI_CCS_ccs_dil_Amm_Che_ee	ETI Technology - CCS of energy emissions - CCS - Ammonia - Energy emissions intensity
ETI_CCS_ccs_dil_Gas_Exp_ee	ETI Technology - CCS of energy emissions - CCS - Gas export (LNG) - Energy emissions intensity
ETI_PI_unc_Gas_Min_ne	ETI Technology - Process improvements - Uncosted abatement - Gas mining - Non-energy emissions intensity
ETI_PI_unc_Gas_Exp_ne	ETI Technology - Process improvements - Uncosted abatement - Gas export (LNG) - Non-energy emissions intensity
ETI_ELE_ele_cal_Alu_Na_ed	ETI Technology - Electrification - Electric calcination - Alumina - Energy demand
IES_bio	Biomass fuel use
IES_coa	Black coal fuel use
IES_cob	Brown coal fuel use
IES_elc	Electricity fuel use
IES_ele	Generic electrification
IES_ele_Boi	Electrification of boilers (process heat <100C)
IES_ele_Cmp	Electrification of compessors
IES_ele_EGD	Generic electrification of diesel use
IES_ele_EGG	Generic electrification of natural gas use
IES_ele_Fnc_Hi	Electrification of furnaces (process heat >1000C)
IES_ele_Fnc_Lo	Electrification of furnaces (process heat 400-1000C)
IES_ele_Hau	Electrification of haulage
IES_gas	Natural gas fuel use
IES_h2_0	Blended hydrogen fuel use
IES_h2_1	Direct hydrogen fuel use
IES_oil	Oil fuel use
IES_biogas_0	Blended biomethane fuel use
IES_biogas_1	Direct biomethane fuel use
